anio_insc;prov_insc;cau_div;dur_mat;edad_hom;p_etnica_hom;niv_insth;area_resh;edad_muj;p_etnica_muj;niv_instm;area_resm
1;El Oro;ABANDONO;15;34;6;3;1;3;6;4;11
1;El Oro;MUTUO ACUERDO;32;55;6;3;1;3;6;0;11
1;El Oro;MUTUO ACUERDO;33;57;6;10;1;10;6;10;11
1;El Oro;ABANDONO;11;35;6;3;1;3;6;3;11
1;El Oro;ABANDONO;8;32;6;3;1;3;6;1;11
1;El Oro;MUTUO ACUERDO;29;51;6;3;1;3;6;3;11
1;El Oro;MUTUO ACUERDO;3;35;6;10;1;10;6;10;11
1;El Oro;MUTUO ACUERDO;23;53;6;10;1;10;6;10;11
1;El Oro;ABANDONO;3;29;6;1;1;1;6;1;11
1;El Oro; DESCONOCIDO;36;60;6;1;1;1;6;3;11
1;El Oro;MUTUO ACUERDO;4;54;6;3;1;3;6;10;11
1;Zamora Chinchipe;MUTUO ACUERDO;21;42;6;3;1;3;6;3;11
1;Zamora Chinchipe;MUTUO ACUERDO;11;33;6;3;1;3;6;10;11
1;Loja;MUTUO ACUERDO;30;50;6;8;1;8;6;2;11
1;Loja;MUTUO ACUERDO;23;47;6;10;1;10;6;10;11
1;Loja;ABANDONO;24;55;6;4;1;4;6;4;11
1;Morona Santiago;ABANDONO;7;34;6;3;1;3;6;3;11
1;Manabí;MUTUO ACUERDO;5;32;6;10;1;10;6;10;11
1;Manabí;ABANDONO;20;46;6;10;1;10;6;10;11
1;Manabí;MUTUO ACUERDO;27;52;6;1;1;1;6;10;11
1;Manabí;ABANDONO;38;60;6;2;1;2;6;4;11
1;Manabí;MUTUO ACUERDO;1;40;6;10;1;10;6;1;11
1;Manabí;MUTUO ACUERDO;14;39;6;1;1;1;6;1;11
1;Manabí;ABANDONO;21;39;6;4;1;4;6;1;11
1;Manabí;ABANDONO;19;40;6;1;1;1;6;10;11
1;Manabí;MUTUO ACUERDO;7;27;6;10;1;10;6;10;11
1;Manabí;ABANDONO;18;37;6;1;1;1;6;10;11
1;Manabí;MUTUO ACUERDO;4;32;6;10;1;10;6;10;11
1;Manabí;MUTUO ACUERDO;11;54;9;0;1;0;6;10;11
1;Manabí;ABANDONO;18;52;6;1;1;1;6;10;11
1;Manabí;MUTUO ACUERDO;4;29;6;1;1;1;6;10;11
1;Manabí;ABANDONO;22;49;6;1;1;1;6;2;11
1;Manabí;MUTUO ACUERDO;19;42;6;4;0;4;6;3;10
1;Manabí;MUTUO ACUERDO;4;34;6;1;1;1;6;1;11
1;Manabí;MUTUO ACUERDO;24;48;6;1;1;1;6;3;11
1;Manabí;ABANDONO;16;64;6;4;0;4;6;7;10
1;Manabí;MUTUO ACUERDO;21;42;6;2;1;2;6;2;11
1;Santa Elena;ABANDONO;6;25;9;10;1;10;9;1;11
1;Santa Elena;ABANDONO;4;28;9;10;1;10;9;1;11
1;Santa Elena;MUTUO ACUERDO;21;38;9;2;0;2;9;10;11
1;Guayas;MUTUO ACUERDO;36;61;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;26;46;6;1;1;1;6;1;11
1;Galápagos;ABANDONO;8;32;6;10;1;10;6;10;11
1;Galápagos;MUTUO ACUERDO;12;38;6;4;1;4;6;1;11
1;Esmeraldas;MUTUO ACUERDO;4;27;6;1;1;1;4;1;11
1;Esmeraldas;MUTUO ACUERDO;7;31;6;1;1;1;6;1;11
1;Esmeraldas;MUTUO ACUERDO;30;60;6;8;1;8;6;2;11
1;Cotopaxi;ABANDONO;6;27;6;1;0;1;6;2;10
1;Cotopaxi;MUTUO ACUERDO;7;26;Afroecuatoriano/Afrodescendiente;2;1;2;1;1;11
1;Cotopaxi;MUTUO ACUERDO;20;42;6;1;0;1;6;1;10
1;Chimborazo;MUTUO ACUERDO;12;38;6;3;1;3;6;4;11
1;Chimborazo;MUTUO ACUERDO;30;52;6;1;1;1;6;1;11
1;Chimborazo;MUTUO ACUERDO;0;31;6;4;0;4;6;3;10
1;Chimborazo;ABANDONO;46;67;Afroecuatoriano/Afrodescendiente;4;1;4;1;7;11
1;Pichincha;MUTUO ACUERDO;2;70;6;4;1;4;6;10;11
1;Pichincha;ABANDONO;10;35;6;1;1;1;9;0;11
1;Pichincha;ABANDONO;30;59;6;1;1;1;6;2;11
1;Pichincha;MUTUO ACUERDO;9;40;6;3;1;3;6;1;11
1;Tungurahua;ABANDONO;22;38;6;3;0;3;6;10;11
1;Orellana;MUTUO ACUERDO;12;36;6;3;1;3;6;3;11
1;Orellana;MUTUO ACUERDO;2;33;6;1;1;1;6;1;11
1;Tungurahua;ABANDONO;20;38;6;4;1;4;6;3;11
1;Tungurahua;ABANDONO;14;35;6;3;1;3;6;3;11
1;Azuay;MUTUO ACUERDO;17;39;6;4;0;4;6;4;10
1;Azuay;ABANDONO;32;54;6;4;0;4;6;4;11
1;Azuay;AMENAZA CONTRA LA VIDA;29;58;6;4;1;4;6;7;11
1;El Oro;MUTUO ACUERDO;6;32;6;0;1;0;6;1;11
1;El Oro;ABANDONO;2;40;6;10;1;10;6;10;11
1;El Oro;MUTUO ACUERDO;6;46;6;4;1;4;6;1;11
1;El Oro;MUTUO ACUERDO;24;78;6;3;1;3;6;10;11
1;El Oro;ABANDONO;13;38;6;3;1;3;6;4;11
1;Carchi;FALTA DE ARMONIA;17;48;6;3;1;3;6;3;11
1;Sucumbíos;ABANDONO;15;36;6;3;1;3;6;1;11
1;Loja;ABANDONO;14;34;6;1;1;1;6;1;11
1;Loja;MUTUO ACUERDO;33;56;6;2;1;2;6;3;11
1;Manabí;ABANDONO;28;45;6;4;1;4;6;4;10
